time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,23.29,23.21,22.25,21.99,22.60,21.82
2,23.29,23.21,22.34,21.99,22.60,21.73
4,23.29,23.21,22.25,21.99,22.68,21.82
6,23.29,23.12,22.34,21.99,22.60,21.82
8,23.29,23.12,22.34,21.99,22.68,21.90
10,23.29,23.21,22.34,21.99,22.68,21.82
12,23.29,23.21,22.34,21.99,22.68,21.90
14,23.29,23.21,22.34,21.99,22.60,21.90
16,23.29,23.21,22.34,21.99,22.60,21.90
18,23.29,23.21,22.34,21.99,22.68,21.82
20,23.29,23.21,22.34,21.99,22.68,21.90
22,23.29,23.21,22.34,21.99,22.60,21.82
24,23.29,23.21,22.34,21.99,22.68,21.82
26,23.29,23.21,22.34,21.99,22.60,21.82
28,23.29,23.21,22.34,22.08,22.60,21.82
30,23.29,23.29,22.34,22.08,22.68,21.82
32,23.29,23.29,22.34,21.99,22.60,21.90
34,23.29,23.29,22.34,22.08,22.60,21.73
36,23.29,23.29,22.34,22.08,22.60,21.82
38,23.29,23.38,22.34,22.08,22.60,21.82
40,23.29,23.38,22.42,21.99,22.68,21.73
42,23.38,23.38,22.34,22.08,22.60,21.82
44,23.38,23.47,22.34,22.08,22.68,21.73
46,23.29,23.47,22.42,21.99,22.68,21.82
48,23.38,23.47,22.42,22.08,22.68,21.73
51,23.38,23.55,22.42,22.08,22.68,22.08
53,23.38,23.55,22.42,22.08,22.60,21.82
55,23.38,23.64,22.42,22.08,22.68,21.82
57,23.38,23.64,22.42,22.08,22.60,21.82
59,23.38,23.64,22.42,22.08,22.68,21.90
61,23.38,23.73,22.51,22.08,22.60,21.73
63,23.38,23.82,22.51,22.08,22.68,21.73
65,23.38,23.82,22.51,22.08,22.60,21.99
67,23.38,23.82,22.51,22.08,22.60,21.73
69,23.38,23.90,22.51,22.08,22.60,21.90
71,23.47,23.90,22.51,22.08,22.68,21.82
73,23.47,23.99,22.60,22.08,22.68,21.82
75,23.47,24.08,22.60,22.08,22.60,21.90
77,23.47,24.08,22.60,22.08,22.68,21.90
79,23.47,24.17,22.60,22.08,22.68,21.82
81,23.47,24.17,22.68,22.08,22.68,21.73
83,23.47,24.25,22.68,22.08,22.60,21.73
85,23.55,24.34,22.68,22.08,22.68,21.82
87,23.55,24.25,22.68,22.08,22.68,21.82
89,23.55,24.43,22.68,22.16,22.68,21.90
91,23.55,24.43,22.77,22.16,22.68,21.82
93,23.55,24.52,22.77,22.16,22.68,21.73
95,23.55,24.52,22.77,22.08,22.60,21.64
97,23.64,24.60,22.77,22.16,22.68,21.82
99,23.64,24.69,22.86,22.16,22.60,21.73
101,23.64,24.78,22.86,22.16,22.68,21.73
103,23.64,24.78,22.94,22.16,22.68,21.82
105,23.64,24.87,22.94,22.16,22.68,21.82
108,23.73,24.96,23.03,22.16,22.60,21.73
110,23.73,24.96,23.03,22.16,22.68,21.82
112,23.73,25.04,23.03,22.16,22.68,21.90
114,23.73,25.04,23.12,22.16,22.68,21.82
116,23.82,25.22,23.12,22.25,22.68,21.73
118,23.82,25.22,23.12,22.25,22.60,21.73
120,23.82,25.22,23.12,22.16,22.68,21.56
122,23.82,25.40,23.21,22.25,22.68,21.90
124,23.90,25.40,23.21,22.25,22.77,21.90
126,23.90,25.48,23.29,22.25,22.68,21.90
128,23.90,25.57,23.29,22.25,22.68,21.99
130,23.90,25.66,23.29,22.25,22.68,21.47
132,23.90,25.57,23.38,22.25,22.68,21.99
134,23.99,25.75,23.38,22.25,22.77,22.16
136,23.99,25.75,23.47,22.34,22.68,22.08
138,24.08,25.84,23.47,22.34,22.77,22.16
140,24.08,25.93,23.47,22.34,22.77,22.08
142,24.08,26.02,23.55,22.34,22.77,22.08
144,24.17,26.10,23.55,22.34,22.68,22.08
146,24.08,26.10,23.55,22.34,22.77,22.08
148,24.17,26.19,23.64,22.34,22.77,22.16
150,24.17,26.28,23.73,22.34,22.77,22.16
152,24.17,26.37,23.73,22.42,22.77,22.08
154,24.25,26.37,23.82,22.42,22.77,22.08
156,24.25,26.46,23.82,22.42,22.77,21.99
158,24.34,26.55,23.90,22.42,22.77,22.08
160,24.34,26.55,23.90,22.42,22.77,21.90
162,24.34,26.64,23.90,22.42,22.77,21.90
165,24.43,26.73,23.99,22.42,22.77,21.90
167,24.43,26.82,23.99,22.51,22.77,21.90
169,24.52,26.91,24.08,22.51,22.77,21.90
171,24.52,26.91,24.08,22.51,22.77,21.90
173,24.52,26.99,24.17,22.51,22.77,21.90
175,24.60,27.08,24.17,22.51,22.77,21.90
177,24.60,27.17,24.17,22.51,22.77,21.64
179,24.60,27.26,24.25,22.51,22.77,21.90
181,24.69,27.26,24.34,22.51,22.77,22.42
183,24.69,27.35,24.34,22.60,22.77,21.90
185,24.69,27.44,24.43,22.60,22.86,21.90
