time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,22.60,22.25,21.90,21.64,22.34,21.90
2,22.60,22.25,21.90,21.64,22.34,21.99
4,22.60,22.25,21.90,21.64,22.34,21.99
6,22.60,22.25,21.90,21.64,22.34,21.90
8,22.60,22.25,21.90,21.64,22.34,21.82
10,22.60,22.25,21.90,21.64,22.34,21.82
12,22.60,22.25,21.90,21.64,22.34,21.73
14,22.60,22.34,21.90,21.64,22.34,21.73
16,22.60,22.25,21.90,21.73,22.34,21.64
18,22.60,22.25,21.90,21.64,22.34,21.56
20,22.60,22.25,21.90,21.73,22.34,21.64
22,22.60,22.34,21.90,21.64,22.34,21.64
24,22.60,22.34,21.90,21.73,22.25,21.64
26,22.60,22.34,21.90,21.64,22.34,21.64
28,22.60,22.34,21.90,21.73,22.34,21.56
30,22.60,22.34,21.90,21.73,22.34,21.56
32,22.60,22.42,21.90,21.73,22.25,21.56
34,22.60,22.42,21.90,21.73,22.34,21.56
36,22.60,22.42,21.90,21.73,22.34,21.64
38,22.60,22.42,21.90,21.73,22.34,21.64
40,22.60,22.51,21.90,21.73,22.34,21.56
42,22.60,22.51,21.90,21.73,22.34,21.47
44,22.60,22.51,21.90,21.73,22.25,21.47
46,22.60,22.51,21.90,21.73,22.34,21.38
48,22.60,22.60,21.90,21.73,22.25,21.56
51,22.60,22.60,21.90,21.73,22.25,21.56
53,22.60,22.60,21.82,21.73,22.34,21.47
55,22.60,22.68,21.90,21.73,22.34,21.47
57,22.60,22.68,21.90,21.73,22.25,21.47
59,22.60,22.68,21.90,21.73,22.25,21.38
61,22.60,22.77,21.90,21.73,22.34,21.38
63,22.68,22.77,21.90,21.73,22.34,21.47
65,22.68,22.77,21.90,21.73,22.34,21.47
67,22.60,22.86,21.90,21.73,22.34,21.47
69,22.60,22.86,21.90,21.73,22.34,21.56
71,22.60,22.86,21.90,21.73,22.34,21.47
73,22.68,22.86,21.99,21.73,22.34,21.47
75,22.60,22.94,21.99,21.73,22.34,21.47
77,22.68,22.94,21.90,21.73,22.34,21.47
79,22.68,23.03,21.90,21.73,22.34,21.99
81,22.68,23.03,21.90,21.73,22.34,21.47
83,22.68,23.12,21.99,21.73,22.34,21.38
85,22.68,23.12,21.99,21.73,22.34,21.47
87,22.68,23.12,21.99,21.82,22.34,21.47
89,22.68,23.21,21.99,21.82,22.34,21.47
91,22.68,23.21,21.99,21.82,22.34,21.47
93,22.68,23.29,21.99,21.82,22.25,21.47
95,22.68,23.29,21.99,21.82,22.34,21.47
97,22.68,23.29,21.99,21.73,22.25,21.47
99,22.68,23.38,21.99,21.82,22.34,21.47
101,22.77,23.38,21.99,21.82,22.34,21.38
103,22.77,23.47,21.99,21.82,22.34,21.38
105,22.77,23.47,21.99,21.82,22.34,21.47
108,22.77,23.47,21.99,21.82,22.34,21.47
110,22.77,23.55,21.99,21.82,22.34,21.47
112,22.77,23.55,21.99,21.82,22.34,21.56
114,22.77,23.64,21.99,21.90,22.34,21.47
116,22.77,23.64,21.99,21.90,22.34,21.38
118,22.77,23.64,21.99,21.90,22.34,21.47
120,22.77,23.73,22.08,21.90,22.34,21.47
122,22.77,23.73,22.08,21.90,22.34,21.47
124,22.77,23.82,22.08,21.99,22.42,21.47
126,22.86,23.82,22.08,21.90,22.34,21.47
128,22.86,23.90,22.08,21.90,22.42,21.47
130,22.86,23.90,22.08,21.90,22.34,21.38
132,22.86,23.90,22.08,21.90,22.42,21.47
134,22.86,23.99,22.08,21.90,22.34,21.47
136,22.86,23.99,22.08,21.90,22.34,21.56
138,22.86,24.08,22.08,21.90,22.42,21.47
140,22.94,24.08,22.16,21.99,22.42,21.38
142,22.94,24.08,22.16,21.99,22.34,21.56
144,22.94,24.17,22.16,21.99,22.42,21.56
146,22.94,24.25,22.16,21.99,22.42,21.47
148,22.94,24.25,22.16,21.99,22.42,21.47
150,22.94,24.25,22.16,21.99,22.34,21.38
152,22.94,24.34,22.16,21.99,22.42,21.47
154,23.03,24.34,22.16,21.99,22.42,21.38
156,23.03,24.43,22.16,21.99,22.42,21.38
158,23.03,24.43,22.25,21.99,22.42,21.47
160,23.03,24.52,22.25,22.08,22.42,21.47
162,23.03,24.52,22.25,22.08,22.34,21.30
165,23.03,24.52,22.25,22.08,22.51,21.47
167,23.03,24.60,22.16,22.08,22.42,21.38
169,23.12,24.60,22.25,22.08,22.42,21.47
171,23.12,24.69,22.25,22.08,22.42,21.47
173,23.12,24.69,22.25,22.08,22.42,21.47
175,23.12,24.78,22.25,22.08,22.42,21.47
177,23.12,24.78,22.34,22.08,22.42,21.47
179,23.21,24.87,22.34,22.08,22.42,21.47
181,23.21,24.87,22.34,22.16,22.42,21.47
183,23.21,24.96,22.34,22.16,22.51,21.47
185,23.21,24.96,22.34,22.16,22.51,21.47
187,23.21,24.96,22.34,22.16,22.51,21.47
189,23.21,25.04,22.34,22.16,22.42,21.47
191,23.21,25.04,22.34,22.16,22.51,21.56
193,23.29,25.13,22.42,22.16,22.51,21.47
195,23.29,25.13,22.34,22.16,22.51,21.47
197,23.29,25.13,22.42,22.16,22.51,21.56
199,23.38,25.22,22.42,22.25,22.51,21.47
201,23.38,25.31,22.42,22.25,22.51,21.47
203,23.29,25.31,22.42,22.25,22.51,21.47
205,23.38,25.31,22.42,22.25,22.51,21.56
207,23.38,25.40,22.51,22.34,22.51,21.56
209,23.38,25.40,22.51,22.25,22.51,21.73
211,23.47,25.48,22.51,22.25,22.51,21.73
213,23.47,25.48,22.51,22.25,22.60,21.73
215,23.47,25.57,22.51,22.34,22.60,21.73
217,23.47,25.57,22.51,22.34,22.51,21.73
219,23.47,25.57,22.51,22.34,22.60,21.82
221,23.55,25.66,22.51,22.34,22.60,21.73
