time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,21.82,21.56,21.04,20.78,21.47,20.61
time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,21.82,21.56,21.04,20.78,21.47,20.52
2,21.82,21.64,21.04,20.78,21.47,20.61
4,21.82,21.56,21.04,20.52,21.56,20.61
6,21.82,21.64,21.04,20.87,21.56,20.61
8,21.82,21.64,21.04,20.87,21.56,20.61
10,21.90,21.56,21.04,20.78,21.56,20.61
12,21.99,21.56,21.04,20.78,21.56,20.43
14,22.16,21.56,21.04,20.78,21.56,20.52
16,22.34,21.56,21.04,20.87,21.56,20.61
18,22.51,21.64,21.13,20.87,21.56,20.52
20,22.77,21.64,21.13,20.87,21.56,20.61
22,23.12,21.64,21.13,20.87,21.56,20.52
24,23.38,21.73,21.13,20.87,21.47,20.52
26,23.73,21.73,21.21,20.87,21.56,20.95
28,24.17,21.73,21.30,20.87,21.56,20.87
30,24.52,21.82,21.30,20.87,21.56,20.87
32,24.87,21.82,21.38,20.87,21.47,20.78
34,25.31,21.82,21.38,20.87,21.56,20.69
36,25.66,21.90,21.47,20.87,21.47,20.69
38,26.02,21.99,21.56,20.87,21.47,20.61
40,26.37,21.99,21.64,20.87,21.56,20.78
42,26.82,22.08,21.73,20.87,21.56,20.52
44,27.26,22.08,21.82,20.87,21.47,20.52
46,27.62,22.16,21.90,20.87,21.56,20.52
48,27.98,22.25,21.90,20.87,21.56,20.52
51,28.43,22.25,21.99,20.87,21.47,20.26
53,28.80,22.34,22.08,20.95,21.47,20.52
55,29.16,22.42,22.16,20.95,21.47,20.52
57,29.62,22.51,22.25,20.95,21.56,20.61
59,29.99,22.60,22.34,21.13,21.47,20.61
61,30.35,22.60,22.51,20.95,21.56,20.61
63,30.72,22.68,22.51,20.95,21.47,20.69
65,31.10,22.77,22.68,20.95,21.56,20.52
67,31.47,22.86,22.77,20.95,21.56,20.52
69,31.85,22.68,22.86,20.95,21.56,20.61
71,32.13,23.03,22.94,20.95,21.47,20.52
73,32.51,23.12,23.03,20.95,21.56,20.52
75,32.79,23.21,23.12,21.04,21.56,20.61
77,33.18,23.29,23.29,21.04,21.56,20.52
