time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,23.90,23.38,23.55,22.94,23.99,23.99
2,23.90,23.47,23.21,23.12,23.64,23.82
4,24.25,23.38,23.29,22.94,23.73,24.25
6,23.73,23.55,23.21,23.03,22.60,24.17
8,23.73,23.82,23.12,23.03,23.82,24.25
10,23.73,23.73,23.12,23.03,23.55,24.34
12,23.82,23.47,22.25,22.86,23.73,24.43
14,23.82,23.38,23.55,22.94,23.73,23.90
16,23.90,23.38,23.29,23.03,23.55,24.60
18,23.90,23.64,23.12,23.12,23.90,24.17
20,24.17,23.47,23.12,23.21,23.73,24.17
22,23.99,23.38,23.21,21.90,23.55,24.17
24,23.99,23.55,23.12,23.03,23.38,24.17
26,23.82,23.64,23.29,22.86,23.64,24.52
28,24.25,23.47,23.12,23.12,22.60,24.17
30,23.90,23.38,23.29,22.25,23.55,24.17
32,23.90,23.38,23.38,22.77,23.55,24.17
34,24.17,23.47,23.12,23.12,22.51,24.17
36,23.90,23.38,23.21,23.29,23.55,23.99
38,23.90,23.38,23.29,23.29,23.55,23.99
40,22.94,23.38,23.12,23.12,22.94,23.99
42,23.90,23.47,23.29,23.38,23.55,23.99
44,23.99,23.38,23.29,23.38,23.64,23.99
46,23.38,23.47,23.21,23.03,23.90,24.17
48,23.99,23.38,23.29,23.21,23.90,23.99
51,24.17,22.42,23.29,22.94,23.55,24.25
53,24.34,23.64,23.21,22.94,23.55,24.34
55,23.99,23.73,22.77,23.03,23.47,23.99
57,24.34,23.64,23.29,22.94,23.55,24.25
59,23.99,23.64,23.64,23.12,23.47,23.90
61,23.90,23.55,23.47,23.38,23.64,23.90
63,23.99,23.55,23.47,23.38,23.64,23.38
65,24.17,23.47,23.29,22.94,23.55,24.34
67,24.08,23.73,23.55,23.12,23.47,23.99
69,24.25,23.64,23.38,22.94,23.47,24.17
71,24.08,23.64,23.82,23.38,23.47,24.08
73,23.99,23.64,23.64,23.21,23.64,24.08
75,23.99,23.55,23.47,23.12,23.82,24.43
77,24.17,23.82,23.64,23.21,23.47,23.99
79,24.17,23.55,23.38,23.03,23.55,24.34
81,24.08,23.55,23.47,23.12,23.82,23.12
83,24.08,23.55,23.47,23.12,23.73,24.43
85,24.08,23.64,23.47,23.12,23.82,24.08
87,24.25,23.90,23.90,23.29,23.55,23.99
89,24.17,23.82,23.90,21.99,23.55,23.99
91,24.17,23.64,23.47,22.94,23.55,23.99
93,24.17,23.73,23.73,23.29,23.55,24.25
95,24.25,23.82,23.90,23.38,23.82,24.08
97,24.25,23.82,23.90,23.47,22.51,24.08
99,24.52,24.17,22.94,23.12,23.47,23.99
101,24.17,23.73,23.64,23.03,23.55,24.17
103,24.60,22.77,23.82,23.03,23.47,23.99
105,24.43,23.99,24.08,22.94,23.82,24.08
108,24.17,23.82,23.73,23.12,23.73,24.43
110,24.25,23.82,23.82,23.21,23.73,24.25
112,23.47,23.99,23.82,23.03,23.47,24.17
114,24.52,24.08,24.17,23.29,23.03,24.25
116,24.34,23.82,23.73,22.94,23.38,23.82
118,24.52,24.08,23.99,23.38,23.90,24.25
120,24.43,23.90,23.82,23.03,23.38,23.90
122,24.52,24.17,24.17,23.47,23.82,23.82
124,24.08,23.99,24.08,23.21,23.47,23.90
126,24.69,24.17,23.99,23.03,23.47,23.90
128,24.34,23.90,23.82,22.94,23.38,23.99
130,24.34,23.90,23.82,23.03,23.47,23.99
132,24.43,23.90,23.82,23.03,23.38,23.90
134,24.52,24.17,24.08,23.29,23.73,24.78
136,24.60,24.25,24.17,23.38,23.82,24.34
138,24.43,23.99,23.90,23.03,23.38,23.82
140,24.60,24.17,24.08,23.12,23.55,23.99
142,24.52,24.08,23.99,23.03,23.47,23.82
144,24.69,24.25,24.17,23.21,23.64,24.08
146,24.69,24.25,24.17,23.21,23.64,24.08
148,24.69,24.34,24.25,23.21,23.55,24.08
150,24.78,24.43,24.34,23.29,23.73,24.08
152,24.87,24.52,24.34,23.29,23.73,24.08
154,24.60,24.25,24.08,23.03,23.47,23.82
156,24.60,24.25,24.08,23.03,23.47,23.82
158,24.60,24.25,24.08,23.03,23.47,23.90
160,24.87,24.43,24.25,23.21,23.55,23.90
162,25.04,24.60,24.43,23.29,23.64,23.99
165,24.69,24.34,24.17,23.03,23.38,23.82
167,24.69,24.34,24.25,23.12,23.55,24.08
169,24.96,23.47,24.43,23.55,23.73,24.08
171,24.96,24.17,24.43,23.47,23.73,24.08
173,25.22,24.78,24.43,23.21,23.55,23.90
175,24.78,24.43,24.17,23.12,23.55,24.08
177,24.78,24.43,24.25,23.12,23.64,23.03
179,24.78,24.52,24.43,23.47,23.21,24.25
181,25.04,24.60,24.43,23.03,23.47,23.82
183,24.96,24.87,24.69,23.47,23.64,23.90
