time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,23.64,23.12,22.86,22.42,23.12,23.55
2,23.47,23.03,22.77,22.34,23.29,23.29
4,23.38,23.21,22.60,22.60,23.12,23.47
6,23.38,23.29,22.68,22.68,23.03,23.47
8,23.38,22.42,22.60,22.86,23.03,23.73
10,23.55,23.12,22.68,22.60,23.12,22.68
12,23.55,23.12,22.68,22.77,23.03,23.82
14,23.55,23.38,22.68,22.60,23.12,23.38
16,23.64,23.12,22.86,22.42,23.55,23.21
18,23.82,23.21,22.86,22.42,23.47,23.29
20,23.03,23.03,22.86,22.42,23.12,23.12
22,24.08,23.21,22.68,22.42,23.29,23.38
24,24.34,23.12,23.21,22.42,23.21,22.60
26,24.43,23.21,22.94,22.42,23.21,23.73
28,24.87,23.21,22.86,21.90,23.12,23.47
30,24.87,23.21,22.86,22.60,23.12,23.55
32,24.78,23.55,22.77,22.42,23.47,23.38
34,25.04,23.38,22.68,22.60,23.29,23.47
36,25.13,23.38,22.77,22.60,23.47,23.38
38,25.31,23.47,22.77,22.60,23.55,23.38
40,25.22,23.03,22.77,22.42,23.47,23.38
42,25.40,23.73,22.77,22.51,23.38,23.47
44,25.66,23.38,22.86,22.86,22.77,23.21
46,25.66,23.38,22.94,22.08,23.12,23.29
48,25.75,23.64,21.90,22.42,23.12,23.55
51,25.93,23.82,23.03,22.42,23.21,23.82
53,26.19,23.55,22.86,22.86,23.21,23.38
55,26.28,23.55,23.12,22.86,23.12,23.29
57,26.46,23.55,23.03,22.68,23.12,23.12
59,26.82,24.08,22.94,22.51,23.21,23.21
61,26.82,23.73,23.29,22.68,23.12,22.94
63,27.08,23.73,23.12,22.60,23.12,22.86
65,27.26,23.82,23.21,22.25,23.12,23.29
67,27.62,23.38,23.12,22.51,23.12,23.21
69,27.80,23.90,23.03,22.68,23.21,23.12
71,27.98,24.17,22.25,22.60,23.03,22.77
73,28.07,24.17,23.55,22.77,23.12,22.86
75,28.43,24.08,23.12,22.68,23.55,23.03
77,28.80,24.43,23.21,22.60,23.21,23.03
79,28.80,24.43,23.21,22.68,23.12,22.68
81,28.89,24.43,23.55,21.73,23.12,22.86
83,29.16,24.60,22.86,22.68,23.12,22.86
85,29.34,24.60,23.55,22.77,23.12,22.86
87,29.43,24.43,23.47,22.86,23.12,22.94
89,29.71,24.78,23.64,22.77,23.03,22.86
91,30.17,23.99,23.47,22.60,23.03,22.94
93,30.08,24.60,23.38,22.68,23.21,23.21
95,30.35,24.69,23.47,22.68,23.21,23.29
97,30.45,24.78,23.47,22.68,23.21,23.21
99,30.26,25.04,23.55,22.68,23.03,22.94
101,30.82,24.96,23.55,22.77,23.38,23.29
103,31.28,25.31,23.90,22.77,23.03,23.03
105,31.28,25.13,23.64,22.77,23.21,23.21
108,31.56,25.22,23.64,22.68,22.94,22.94
110,31.38,25.40,23.73,22.77,23.03,23.03
112,31.75,25.40,23.82,22.94,23.29,23.47
114,31.85,25.57,23.90,22.77,23.03,22.94
116,32.13,25.48,23.82,22.94,23.21,23.21
118,32.22,25.57,23.90,22.86,23.12,23.21
120,32.51,25.75,23.90,22.86,23.03,23.03
122,32.60,25.66,23.90,22.77,23.03,23.03
124,32.98,26.10,23.73,22.77,23.29,23.12
126,32.98,25.93,24.08,23.03,23.21,23.29
128,33.27,26.19,24.43,23.21,23.03,23.38
130,33.27,26.10,24.25,23.12,23.38,23.38
132,33.56,25.31,24.34,23.03,23.12,22.94
134,33.56,26.10,24.08,22.86,23.03,22.86
136,33.75,26.19,24.17,22.86,23.03,22.94
138,33.85,26.37,24.17,23.03,23.21,23.12
140,34.04,26.46,24.34,23.03,23.21,23.21
142,34.33,26.55,24.43,22.94,23.12,23.03
144,34.43,26.64,24.52,23.21,23.29,23.29
146,34.33,26.82,24.60,23.12,23.21,23.03
148,34.73,26.73,24.52,23.03,23.12,22.94
150,34.63,26.91,24.69,23.21,23.29,23.12
152,35.12,27.17,24.87,23.38,23.55,23.29
154,35.02,26.82,24.43,22.94,23.03,22.86
156,35.12,26.99,24.52,22.94,23.03,22.86
158,35.51,27.26,24.87,23.38,23.47,22.42
160,35.51,27.26,24.78,23.21,23.29,23.21
162,35.61,27.26,24.69,23.12,23.12,22.77
165,35.81,27.35,24.87,23.12,23.21,23.03
167,36.11,27.71,25.13,23.47,23.38,23.21
169,36.01,27.62,25.13,23.38,22.60,22.77
171,36.11,27.62,24.96,23.29,23.38,23.29
173,36.21,27.62,24.87,23.12,23.12,23.03
175,36.51,27.89,25.13,23.29,23.21,23.03
177,36.41,27.71,24.96,23.21,23.21,23.12
179,36.62,27.98,25.22,23.12,23.55,23.29
181,36.51,27.98,25.40,23.47,23.29,23.03
183,36.92,27.98,25.31,23.55,23.55,23.03
185,36.92,27.98,25.13,23.29,23.29,22.34
187,37.22,28.25,25.31,23.38,23.12,22.34
189,37.12,28.25,25.48,23.47,23.55,23.12
191,37.02,28.34,25.57,23.47,23.29,22.86
193,37.33,28.34,25.31,23.38,23.47,23.12
195,37.43,28.34,25.31,23.29,23.29,23.29
197,37.53,28.43,25.40,23.47,22.60,23.38
199,37.63,28.52,25.48,23.55,23.55,23.21
201,37.84,28.61,25.48,23.29,23.21,22.94
203,37.84,28.98,24.78,23.82,23.38,22.94
205,37.94,28.80,25.57,23.73,23.38,22.94
207,38.05,28.89,25.57,23.47,22.42,23.21
209,38.36,28.89,25.57,23.38,23.29,23.21
211,38.46,29.16,25.93,23.55,23.29,22.77
213,38.46,29.16,25.66,23.47,23.21,22.08
215,38.67,29.25,25.75,23.47,23.29,23.12
217,38.67,29.25,25.13,23.82,23.29,22.77
219,38.77,29.53,26.02,23.55,23.21,22.86
221,38.88,29.62,26.02,23.55,23.29,22.86
224,38.98,29.53,25.93,23.55,23.55,23.21
226,38.98,29.43,26.19,23.90,23.38,22.77
228,39.09,29.53,26.02,22.86,23.55,22.77
230,39.20,29.62,26.10,23.55,23.47,22.68
232,39.30,29.80,26.37,23.64,23.21,22.77
234,39.30,29.80,26.28,24.08,23.47,22.68
236,39.51,29.89,25.57,23.90,23.38,22.68
238,39.62,29.89,26.28,23.73,23.47,22.68
240,39.73,30.08,26.64,23.73,23.29,22.77
242,39.73,30.08,26.37,24.08,23.47,22.68
244,39.83,30.17,26.28,23.90,23.29,22.68
246,39.94,30.26,25.75,23.90,23.38,22.68
248,39.94,30.26,25.75,23.99,23.38,22.68
250,40.26,30.63,26.46,23.82,23.64,23.03
252,40.15,30.45,26.73,23.99,23.47,22.68
254,40.37,30.72,26.55,23.82,23.82,22.94
256,40.48,30.63,26.55,24.08,23.73,22.68
258,40.48,30.91,26.73,23.82,23.55,22.94
260,40.59,31.00,26.82,23.90,23.55,23.12
262,40.59,30.72,26.91,24.17,23.38,22.68
264,40.80,30.91,26.73,24.17,23.64,22.68
266,40.80,30.91,26.91,24.34,23.55,22.60
268,40.91,31.00,26.82,24.17,23.55,22.68
270,41.02,31.00,26.91,24.43,23.55,22.60
272,41.02,31.10,26.91,23.82,23.55,22.60
274,40.69,31.28,26.91,24.08,23.90,22.60
276,41.57,31.28,26.99,24.17,23.82,22.60
278,41.24,31.28,26.99,23.38,23.64,22.60
281,41.35,31.38,27.08,24.25,23.47,22.60
283,41.57,31.56,27.08,24.25,23.90,22.68
285,41.46,31.47,27.17,24.52,23.55,22.68
287,41.57,31.56,27.26,24.52,23.90,22.68
289,41.68,31.66,27.35,24.60,23.64,22.16
291,41.90,31.85,27.26,24.34,23.82,22.77
293,41.79,31.75,27.26,24.34,23.73,22.77
295,41.90,31.85,27.53,24.52,23.29,22.77
297,41.90,32.13,27.44,24.25,23.90,22.51
299,42.01,31.94,27.53,24.60,23.73,22.60
301,42.24,32.13,27.44,24.52,23.82,22.68
303,42.13,32.13,27.71,24.43,23.64,22.86
305,42.24,32.22,27.89,24.34,23.64,21.99
307,42.35,32.41,27.62,24.34,23.90,22.86
309,42.35,32.32,27.08,24.52,23.64,22.94
311,42.46,32.32,27.80,24.69,23.64,22.77
313,42.57,32.41,27.17,24.52,23.64,22.86
315,42.57,32.51,28.07,24.52,23.64,22.94
317,42.69,32.51,27.80,24.96,23.73,22.68
319,42.69,32.60,28.16,24.43,23.73,23.03
321,42.57,32.79,27.80,24.69,23.90,22.60
323,42.80,32.70,28.25,24.60,23.73,22.16
325,43.03,32.79,27.98,24.87,23.82,22.68
327,43.03,32.89,28.07,24.96,23.82,22.68
329,43.26,32.98,27.98,24.69,23.99,22.77
331,43.14,33.08,28.16,24.60,23.99,23.03
333,43.26,32.98,28.34,24.78,23.82,22.94
335,43.26,33.08,28.25,24.87,23.82,22.77
338,43.37,33.18,28.34,24.87,23.82,22.77
340,43.37,33.27,28.52,24.69,23.90,22.94
342,43.48,33.56,28.25,24.69,24.25,22.77
344,43.60,33.46,28.25,24.96,23.99,22.68
346,43.83,33.46,28.25,24.87,23.90,22.86
348,43.60,33.56,28.43,24.78,24.25,22.86
350,43.72,33.56,28.80,24.87,23.99,23.03
352,43.72,33.18,28.52,24.87,23.90,22.77
354,43.83,33.66,28.71,24.96,23.90,22.42
356,43.95,33.85,28.52,25.04,24.08,22.68
358,43.95,33.95,28.61,25.04,24.17,22.68
360,44.06,34.04,28.61,25.04,24.17,22.68
362,44.06,33.95,28.89,24.96,24.08,22.86
364,44.30,34.04,28.71,25.13,24.17,22.68
366,44.18,33.95,28.89,24.96,24.25,22.68
368,44.30,34.14,28.80,25.22,24.08,22.77
370,44.30,34.24,28.98,25.04,23.29,22.77
372,44.30,34.43,28.89,25.13,24.25,22.68
374,44.41,34.24,29.07,25.13,24.08,23.12
376,44.41,34.43,29.07,25.04,23.29,22.77
378,44.53,34.33,29.16,25.22,24.08,23.12
380,44.53,34.33,28.52,25.22,24.17,23.12
382,44.77,34.53,29.07,24.52,24.17,22.77
384,44.18,34.53,29.16,25.48,24.17,22.94
386,44.77,34.63,29.07,24.52,24.17,22.77
388,44.88,34.73,29.16,25.04,24.17,22.77
390,44.88,34.73,28.71,25.31,24.25,23.03
392,44.88,34.82,29.43,25.22,24.43,22.68
395,45.12,34.92,29.25,24.69,24.25,22.68
397,45.00,35.02,29.34,25.66,24.25,22.77
399,45.12,34.92,29.43,25.40,24.43,22.68
401,45.24,35.12,29.34,25.57,24.25,22.77
403,45.36,35.02,29.53,25.48,24.25,23.03
405,45.36,35.32,29.43,25.66,24.34,22.77
407,45.60,35.12,29.71,25.57,24.25,23.12
409,45.72,35.22,29.62,25.66,24.25,23.03
411,45.60,35.32,29.89,25.40,24.69,22.77
413,45.60,35.42,29.71,25.48,24.52,22.68
415,45.72,35.42,29.71,25.84,24.25,23.29
417,45.60,35.61,29.71,25.48,24.25,22.77
419,45.84,35.51,29.89,25.66,24.34,23.03
421,45.24,35.61,29.80,25.84,24.34,22.94
423,45.84,35.61,30.08,25.57,23.73,22.77
425,45.84,35.71,29.99,25.57,24.69,22.77
427,45.84,35.61,29.99,25.66,24.52,22.77
429,46.08,35.71,29.80,25.66,24.52,22.86
431,46.08,35.91,29.99,25.75,24.69,22.77
433,46.20,35.81,30.08,25.75,24.43,23.12
