time_s,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C
0,26.10,25.57,24.96,24.34,24.96,24.52
2,26.19,25.57,24.96,24.34,25.04,24.52
4,26.19,25.66,24.96,24.34,25.04,24.52
6,26.37,25.75,25.04,24.43,25.13,24.60
8,26.37,25.75,25.04,24.43,25.13,24.60
10,26.46,25.75,25.04,24.43,25.04,24.52
12,26.37,25.66,24.96,24.43,25.13,24.52
14,26.73,25.66,24.96,24.52,25.13,24.34
16,26.91,25.66,25.04,24.43,25.13,24.43
18,27.26,25.75,25.04,24.43,25.13,24.43
20,27.53,25.75,25.13,24.52,25.13,24.34
22,27.71,25.75,25.13,24.43,25.13,24.43
24,27.98,25.75,25.13,24.43,25.13,24.43
26,28.43,25.75,25.22,24.43,25.13,24.43
28,28.71,25.84,25.31,24.52,25.04,24.43
30,29.07,25.93,25.40,24.52,25.13,24.34
32,29.43,25.93,25.40,24.52,25.13,24.43
34,29.80,25.93,25.48,24.52,25.13,24.34
36,30.08,26.02,25.48,24.52,25.04,24.43
38,30.54,26.10,25.57,24.52,24.96,24.34
40,31.00,26.10,25.66,24.52,25.04,24.43
42,31.28,26.10,25.75,24.52,25.04,24.43
44,31.66,26.19,25.84,24.60,25.04,24.43
46,32.13,26.19,25.84,24.60,25.13,24.34
48,32.70,26.28,26.02,24.52,25.04,24.43
51,32.89,26.37,26.10,24.60,25.13,24.52
53,33.18,26.46,26.19,24.60,25.04,24.52
55,33.56,26.46,26.19,24.52,25.04,24.34
57,33.95,26.55,26.28,24.60,25.04,24.52
59,34.24,26.64,26.37,24.60,25.13,24.52
61,34.53,26.73,26.55,24.60,25.04,24.43
63,35.02,26.73,26.55,24.60,25.04,24.25
65,35.32,26.82,26.55,24.60,25.04,24.52
67,35.51,26.91,26.73,24.78,25.13,24.43
69,36.01,26.99,26.73,24.60,25.04,24.34
71,36.31,27.08,26.91,24.78,25.04,24.34
73,36.72,27.08,26.99,24.69,25.04,24.60
75,36.82,27.17,27.08,24.69,25.13,24.43
77,37.22,27.35,27.17,24.69,25.04,24.34
79,37.63,27.35,27.26,24.69,25.04,24.43
81,37.94,27.44,27.35,24.78,25.13,24.43
83,38.15,27.53,27.35,24.87,25.04,24.43
85,38.25,27.71,27.44,24.78,25.04,24.43
87,38.77,27.62,27.53,24.78,25.04,24.43
89,38.98,27.80,27.62,24.78,25.13,24.43
91,39.30,27.89,27.80,24.87,25.40,24.34
93,39.62,27.98,27.89,24.87,25.13,24.25
95,39.94,28.07,27.89,24.87,25.04,24.34
97,40.15,28.07,28.07,24.87,25.13,24.34
99,40.37,28.16,28.16,24.87,25.13,24.43
101,40.69,28.34,28.34,24.96,25.13,24.25
103,41.13,28.34,28.52,24.96,25.13,24.34
105,41.35,28.52,28.61,24.96,25.22,24.34
108,41.57,28.61,28.71,24.96,25.13,24.25
110,41.79,28.71,28.80,25.04,25.04,24.34
112,41.90,28.71,28.80,25.04,25.13,24.43
